Dav33092;F;3578
Mar123153;A;3857
Kat86041;F;3961
Ala5709;A;3930
Rog166308;A;3816
Let112990;F;3590
Elz48653;A;3793
Lei107880;A;3592
Juç80910;F;3514
Rog166552;F;3775
Emm54540;A;3624
Tak187336;F;3738
Tak196702;F;3489
Tak196860;F;3815
Nei144706;F;3465
Ann11652;F;3887
Tho201977;F;3775
Emm53364;F;3460
Sar171698;A;3695
Mit134210;F;3489
Mit134686;F;3640
Ada486;F;3983
Mar129425;A;3857
Jea64435;F;3590
Tak197106;F;3815
Wil212691;F;3481
Mit134252;A;3793
Wil212133;F;3840
Tri207244;A;3982
Tak195572;F;3570
Nin155256;F;3993
Tri207618;A;3764
Elz49241;A;3647
Rog166237;F;3920
Tak195199;F;3932
Tri202607;A;3650
Tri206418;F;3936
Mak118416;F;4000
Tri207075;F;3592
Wil212821;F;3632
Ada398;F;3920
Mar123657;F;3917
Tak187445;F;3524
Tak187071;A;3502
Emm53896;A;3793
Lei108309;F;3930
Mar128300;F;3624
Rog166311;F;3502
Art17201;A;3518
Nin155072;F;3536
Lei107656;F;3803
Mar129305;F;3783
Cor26947;F;3536
Kat86205;A;3680
Wil212199;A;3465
Wil212405;A;3890
Rog165923;F;3496
Nin155434;F;3527
Tri202702;F;3531
Juç80909;A;3920
Juç80416;A;3650
Mur139357;F;3547
Tri206923;F;3650
Wil213029;F;3764
Mit134276;F;3778
Let112327;F;3785
Yuk217586;F;3617
Ada1128;A;3586
Mak117937;A;3823
Kle96391;F;3851
Jef70316;F;3936
Tho201128;F;3524
Joe75972;A;3605
Tak187413;F;3554
Eli38160;F;4006
Kat86205;A;3920
Mar129540;F;3605
Mur139713;A;3509
Eli37678;A;3598
Eli37934;A;3590
Nei144818;A;3536
Juç80738;A;3592
Let113156;A;3540
Mar129184;A;3778
Mar123213;F;3785
Mar129669;A;3754
Mit133995;F;3954
Sha176276;F;3954
Jea64760;F;3936
Tak196161;A;3481
Kur102380;A;3540
Mur139732;A;3474
Sar171111;F;3598
Ell43831;A;3954
Mar124156;F;3674
Mak117787;F;3496
Ada606;F;3785
Kat91100;F;3761
Wil212634;F;3496
Tho201524;F;3840
Nic150204;A;3749
Elz48663;A;3465
Lei108027;F;3496
Tak196297;F;3823
Dav33143;F;3989
Nic150400;F;3533
Joe76130;F;3804
Art17508;F;3920
Juç81116;F;3982
Kat91319;A;3775
Sar171732;F;3650
Yuk217182;A;3783
Juç81020;A;3642
Sim181755;A;3775
Mak117773;F;3804
Tho202072;A;3857
Tak195080;A;3845
Tak187894;A;3811
Let112328;A;3531
Mak118626;F;3961
Kat85996;A;3624
Nei144630;F;3650
Kat86441;F;3982
Wil211675;F;3734
Wil212790;F;3556
Tho201131;A;3640
Mak118050;F;3791
Emm54439;F;3793
Mak117555;F;3560
Mar129482;F;3592
Tri206184;F;3576
Fra59128;F;3920
Yuk218037;F;3775
Eli37685;F;3993
Nic150759;F;3474
Tak197082;F;3675
Art17034;A;3979
Emm53436;A;3674
Mit133710;A;3764
Kle97603;F;3556
Kur101665;F;3556
Ann11705;A;3705
Mar124076;F;3973
Nei144529;A;3983
Tho197360;F;3650
Emm54196;A;3906
Mar123509;F;3616
Ada586;F;3514
Nei144162;F;3778
Lei107284;F;3502
Tri206651;F;3554
Tak187969;F;3514
Mar123153;A;3524
Ren161215;F;3540
Yuk217670;F;3793
Let112344;F;3920
Rog165555;A;3773
Ann10817;A;3531
Tho197220;A;3793
Mak117680;F;3460
Sha177020;A;3738
Jef69853;F;3459
Elz48809;A;3527
Cor27511;F;3556
